,Player,Age,PTS
9795,Karl Malone*,26.0,2540.0
9819,Reggie Miller*,24.0,2016.0
9978,Dominique Wilkins*,30.0,2138.0
10132,Patrick Ewing*,28.0,2154.0
10212,Michael Jordan*,27.0,2580.0
10251,Karl Malone*,27.0,2382.0
10280,Chris Mullin*,27.0,2107.0
10336,David Robinson*,25.0,2101.0
10414,Dominique Wilkins*,31.0,2101.0
10666,Michael Jordan*,28.0,2404.0
10704,Karl Malone*,28.0,2272.0
10737,Chris Mullin*,28.0,2074.0
11106,Michael Jordan*,29.0,2541.0
11150,Karl Malone*,29.0,2217.0
11195,Hakeem Olajuwon*,30.0,2140.0
11325,Dominique Wilkins*,33.0,2121.0
11641,Karl Malone*,30.0,2063.0
11685,Shaquille O'Neal*,21.0,2377.0
11688,Hakeem Olajuwon*,31.0,2184.0
11731,David Robinson*,28.0,2383.0
12089,Karl Malone*,31.0,2187.0
12136,Shaquille O'Neal*,22.0,2315.0
12138,Hakeem Olajuwon*,32.0,2005.0
12182,David Robinson*,29.0,2238.0
12528,Michael Jordan*,32.0,2491.0
12573,Karl Malone*,32.0,2106.0
12697,David Robinson*,30.0,2051.0
13096,Michael Jordan*,33.0,2431.0
13143,Karl Malone*,33.0,2249.0
13263,Glen Rice,29.0,2115.0
13265,Mitch Richmond*,31.0,2095.0
13654,Michael Jordan*,34.0,2357.0
13689,Karl Malone*,34.0,2190.0
14553,Vince Carter,23.0,2107.0
14753,Karl Malone*,36.0,2095.0
14806,Shaquille O'Neal*,27.0,2344.0
15041,Vince Carter,24.0,2070.0
15186,Allen Iverson*,25.0,2207.0
15199,Antawn Jamison,24.0,2044.0
15272,Tracy McGrady,21.0,2065.0
15330,Shaquille O'Neal*,28.0,2125.0
15365,Paul Pierce,23.0,2071.0
15425,Jerry Stackhouse,26.0,2380.0
15578,Kobe Bryant,23.0,2019.0
15643,Tim Duncan,25.0,2089.0
15871,Paul Pierce,24.0,2144.0
16070,Kobe Bryant,24.0,2461.0
16213,Allen Iverson*,27.0,2262.0
16286,Tracy McGrady,23.0,2407.0
16322,Dirk Nowitzki,24.0,2011.0
16352,Paul Pierce,25.0,2048.0
17094,Gilbert Arenas,23.0,2038.0
17330,Allen Iverson*,29.0,2302.0
17344,LeBron James,20.0,2175.0
17411,Tracy McGrady,25.0,2003.0
17460,Dirk Nowitzki,26.0,2032.0
17563,Amar'e Stoudemire,22.0,2080.0
